service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
24S-H50S000S-80-S,1,1,1,1,1,0,0,20240826,20241025
24S-H50S000S-80-SV,0,0,0,0,1,0,0,20240826,20241025
24S-H54S000S-80-S,1,1,1,1,1,0,0,20240826,20241025
24S-H55S000S-80-S,1,1,1,1,1,0,0,20240826,20241025
24S-H55S000S-80-SV,0,0,0,0,1,0,0,20240826,20241025
24S-H56S000S-82-S,1,1,1,1,1,0,0,20240826,20241025
24S-H56S000S-82-SV,0,0,0,0,1,0,0,20240826,20241025
24S-H57S000S-84-S,1,1,1,1,1,0,0,20240826,20241025
24S-H58S000S-80-S,1,1,1,1,1,0,0,20240826,20241025
24S-H59S000S-81-S,1,1,1,1,1,0,0,20240826,20241025
24S-H59S000S-81-SV,0,0,0,0,1,0,0,20240826,20241025
24S-H60S000S-80-S,1,1,1,1,1,0,0,20240826,20241025
24S-H62S000S-80-S,1,1,1,1,1,0,0,20240826,20241025
24S-GLOBAUX-03-S,1,1,1,1,1,0,0,20240826,20241025
24S-H50S000A-82-A,0,0,0,0,0,1,0,20240831,20241026
24S-H54S000A-80-A,0,0,0,0,0,1,0,20240831,20241026
24S-H55S000A-82-A,0,0,0,0,0,1,0,20240831,20241026
24S-H56S000A-80-A,0,0,0,0,0,1,0,20240831,20241026
24S-H57S000A-81-A,0,0,0,0,0,1,0,20240831,20241026
24S-H58S000A-80-A,0,0,0,0,0,1,0,20240831,20241026
24S-H59S000A-80-A,0,0,0,0,0,1,0,20240831,20241026
24S-H60S000A-81-A,0,0,0,0,0,1,0,20240831,20241026
24S-H62S000A-80-A,0,0,0,0,0,1,0,20240831,20241026
24S-GLOBAUX-01-A,0,0,0,0,0,1,0,20240831,20241026
24S-H50S000I-81-I,0,0,0,0,0,0,1,20240901,20241027
24S-H54S000I-81-I,0,0,0,0,0,0,1,20240901,20241027
24S-H55S000I-80-I,0,0,0,0,0,0,1,20240901,20241027
24S-H56S000I-80-I,0,0,0,0,0,0,1,20240901,20241027
24S-H57S000I-81-I,0,0,0,0,0,0,1,20240901,20241027
24S-H58S000I-80-I,0,0,0,0,0,0,1,20240901,20241027
24S-H59S000I-80-I,0,0,0,0,0,0,1,20240901,20241027
24S-H60S000I-81-I,0,0,0,0,0,0,1,20240901,20241027
24S-H62S000I-80-I,0,0,0,0,0,0,1,20240901,20241027
24S-GLOBAUX-01-I,0,0,0,0,0,0,1,20240901,20241027
24S-H50S100F-81-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H54S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H55S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H56S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H57S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H58S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H59S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H60S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H62S100F-80-F1,1,0,0,0,0,0,0,20240902,20240902
24S-GLOBAUX-01-F1,1,0,0,0,0,0,0,20240902,20240902
24S-H50S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H54S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H55S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H56S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H57S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H58S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H59S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H60S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-H62S200F-80-F2,1,0,0,0,0,0,0,20241014,20241014
24S-GLOBAUX-01-F2,1,0,0,0,0,0,0,20241014,20241014
24N-H50N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H50N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H54N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H55N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H55N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H56N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H56N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H57N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H58N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H59N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H59N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H60N000S-81-S,1,1,1,1,1,0,0,20241028,20241220
24N-H62N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-GLOBAUX-01-S,1,1,1,1,1,0,0,20241028,20250103
24N-H50N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H54N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H55N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H56N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H57N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H58N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H59N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H60N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H62N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
