service_id,date,exception_type
24S-H50S000S-80-S,20240902,2
24S-H50S000S-80-S,20241014,2
24N-H50NV10S-81-S,20241225,2
24N-H50NV10S-81-S,20241226,2
24N-H50NV20S-80-S,20250101,2
24N-H50NV20S-80-S,20250102,2
24S-H54S000S-80-S,20240902,2
24S-H54S000S-80-S,20241014,2
24N-H54NV10S-80-S,20241225,2
24N-H54NV10S-80-S,20241226,2
24N-H54NV20S-80-S,20250101,2
24N-H54NV20S-80-S,20250102,2
24S-H55S000S-80-S,20240902,2
24S-H55S000S-80-S,20241014,2
24N-H55NV10S-83-S,20241225,2
24N-H55NV10S-83-S,20241226,2
24N-H55NV20S-80-S,20250101,2
24N-H55NV20S-80-S,20250102,2
24S-H56S000S-82-S,20240902,2
24S-H56S000S-82-S,20241014,2
24N-H56NV10S-81-S,20241225,2
24N-H56NV10S-81-S,20241226,2
24N-H56NV20S-80-S,20250101,2
24N-H56NV20S-80-S,20250102,2
24S-H57S000S-84-S,20240902,2
24S-H57S000S-84-S,20241014,2
24N-H57NV10S-81-S,20241225,2
24N-H57NV10S-81-S,20241226,2
24N-H57NV20S-80-S,20250101,2
24N-H57NV20S-80-S,20250102,2
24S-H58S000S-80-S,20240902,2
24S-H58S000S-80-S,20241014,2
24N-H58NV10S-80-S,20241225,2
24N-H58NV10S-80-S,20241226,2
24N-H58NV20S-80-S,20250101,2
24N-H58NV20S-80-S,20250102,2
24S-H59S000S-81-S,20240902,2
24S-H59S000S-81-S,20241014,2
24N-H59NV10S-83-S,20241225,2
24N-H59NV10S-83-S,20241226,2
24N-H59NV20S-80-S,20250101,2
24N-H59NV20S-80-S,20250102,2
24S-H60S000S-80-S,20240902,2
24S-H60S000S-80-S,20241014,2
24N-H60NV10S-80-S,20241225,2
24N-H60NV10S-80-S,20241226,2
24N-H60NV20S-80-S,20250101,2
24N-H60NV20S-80-S,20250102,2
24S-H62S000S-80-S,20240902,2
24S-H62S000S-80-S,20241014,2
24N-H62NV10S-80-S,20241225,2
24N-H62NV10S-80-S,20241226,2
24N-H62NV20S-80-S,20250101,2
24N-H62NV20S-80-S,20250102,2
24S-GLOBAUX-03-S,20240902,2
24S-GLOBAUX-03-S,20241014,2
24N-GLOBAUX-01-S,20241225,2
24N-GLOBAUX-01-S,20241226,2
24N-GLOBAUX-01-S,20250101,2
24N-GLOBAUX-01-S,20250102,2
